marker_id,x_lidar_m,y_lidar_m,marker_size_m,yaw_deg
10,0.4,-0.45,0.08,0.0
11,0.4,0.45,0.08,0.0
12,0.8,-0.55,0.08,0.0
13,0.8,0.55,0.08,0.0
14,1.2,-0.65,0.08,0.0
15,1.2,0.65,0.08,0.0
