image_index,filename,saved_at,camera_frame_index,image_width,image_height,notes
1,frame_000001_20260703_164835_959.jpg,2026-07-03T16:48:36.005,53,1920,1200,
2,frame_000002_20260703_164837_759.jpg,2026-07-03T16:48:37.817,106,1920,1200,
