image_index,filename,saved_at,camera_frame_index,image_width,image_height,notes
1,frame_000001_20260703_165037_565.jpg,2026-07-03T16:50:37.571,122,640,480,
2,frame_000002_20260703_165038_385.jpg,2026-07-03T16:50:38.392,204,640,480,
