image_index,filename,saved_at,camera_frame_index,image_width,image_height,notes
1,obj_1280_000001_20260703_180115_171.jpg,2026-07-03T18:01:15.183,859,1280,720,
2,obj_1280_000002_20260703_180144_051.jpg,2026-07-03T18:01:44.066,1725,1280,720,
3,obj_1280_000003_20260703_180159_773.jpg,2026-07-03T18:01:59.784,2197,1280,720,
4,obj_1280_000004_20260703_180217_929.jpg,2026-07-03T18:02:17.941,2742,1280,720,
5,obj_1280_000005_20260703_180228_993.jpg,2026-07-03T18:02:29.005,3074,1280,720,
6,obj_1280_000006_20260703_180242_595.jpg,2026-07-03T18:02:42.606,3482,1280,720,
7,obj_1280_000007_20260703_180259_556.jpg,2026-07-03T18:02:59.568,3991,1280,720,
8,obj_1280_000008_20260703_180309_838.jpg,2026-07-03T18:03:09.854,4299,1280,720,
9,obj_1280_000009_20260703_180324_999.jpg,2026-07-03T18:03:25.010,4754,1280,720,
10,obj_1280_000010_20260703_180340_534.jpg,2026-07-03T18:03:40.546,5220,1280,720,
11,obj_1280_000011_20260703_180353_428.jpg,2026-07-03T18:03:53.439,5607,1280,720,
12,obj_1280_000012_20260703_180408_979.jpg,2026-07-03T18:04:08.992,6073,1280,720,
13,obj_1280_000013_20260703_180421_654.jpg,2026-07-03T18:04:21.666,6453,1280,720,
14,obj_1280_000014_20260703_180438_038.jpg,2026-07-03T18:04:38.053,6945,1280,720,
15,obj_1280_000015_20260703_180448_691.jpg,2026-07-03T18:04:48.703,7265,1280,720,
16,obj_1280_000016_20260703_180459_597.jpg,2026-07-03T18:04:59.621,7592,1280,720,
17,obj_1280_000017_20260703_180517_388.jpg,2026-07-03T18:05:17.399,8126,1280,720,
18,obj_1280_000018_20260703_180535_658.jpg,2026-07-03T18:05:35.670,8674,1280,720,
19,obj_1280_000019_20260703_180557_720.jpg,2026-07-03T18:05:57.732,9335,1280,720,
20,obj_1280_000020_20260703_180614_275.jpg,2026-07-03T18:06:14.292,9832,1280,720,
